analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
60,30,true,,0.1939808537855139,0.5869024213324484,0.38862901752797585,46,54,23.0,58.0,0.9891304347826086,0.10869565217391304,0.20833333333333334,7,2032,0.15,0.25,30
20,10,false,,0.16924030134041954,0.22266549765178761,0.07684626061929317,11,17,1.0,19.0,0.6129831516352825,0.0,0.28633333333333333,8,2033,0.15,0.25,30
30,15,false,,0.16773003129519642,0.16649585487883978,0.013778192797323063,17,27,1.0,28.0,0.5310150375939849,0.1475563909774436,0.27,8,2033,0.15,0.25,30
40,20,false,,0.17283384931410503,0.15982702313410793,-0.015067374977209044,10,4,1.0,28.0,0.447463768115942,0.034420289855072464,0.268,8,2033,0.15,0.25,30
50,25,true,,0.17360861184027793,0.7067288119734455,0.5310541366273578,43,42,32.0,49.0,1.0,0.035402298850574714,0.22233333333333333,8,2033,0.15,0.25,30
20,10,false,,0.27412585230723807,0.13868981532025798,-0.15814729581883133,4,2,1.0,19.0,0.32280892759934676,0.0,0.261,9,2034,0.15,0.25,30
30,15,false,,0.15549215786086384,0.24695219770639104,0.104748384166964,24,27,2.0,29.0,0.6881668283220175,0.2541222114451988,0.26366666666666666,9,2034,0.15,0.25,30
40,20,false,,0.15952383891977823,0.2819099912536585,0.13139883996684024,32,34,7.400000000000006,39.0,0.7464400551217272,0.30179145613229214,0.268,9,2034,0.15,0.25,30
50,25,false,,0.1661267798238643,0.25146951077601687,0.10507780269988332,26,1,1.0,46.0,0.6863876863876864,0.1996151996151996,0.24,9,2034,0.15,0.25,30
60,30,true,,0.15847099039467613,0.3086000283021812,0.16180674639333065,34,32,5.0,46.0,0.947463768115942,0.3125,0.215,9,2034,0.15,0.25,30
20,10,false,,0.21784774647500846,0.12449310948189166,-0.10158077487246568,5,3,1.0,18.0,0.2905772076961026,0.0,0.288,10,2035,0.15,0.25,30
30,15,false,,0.15846760413603836,0.13670872288856228,-0.03723811342111247,14,4,1.0,29.0,0.42091836734693877,0.08928571428571429,0.27066666666666667,10,2035,0.15,0.25,30
40,20,true,,0.14380248618475636,0.24907504285792217,0.13278371837429903,26,32,2.0,39.0,0.8215472235405791,0.24727100142382535,0.2643333333333333,10,2035,0.15,0.25,30
20,10,false,,0.23184393709240148,0.16014454746932885,-0.08717128640658992,9,5,1.0,19.0,0.2847955902618282,0.0,0.32566666666666666,11,2036,0.15,0.25,30
30,15,false,,0.1887019831129878,0.21332883270569336,0.06642343627610453,13,2,1.0,29.0,0.6079118678017026,0.18027040560841262,0.256,11,2036,0.15,0.25,30
