analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_large_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
30,15,true,25.1607933,0.12586038409229466,0.3284984495194189,0.20170422268224206,24,26,6.0,29.0,1.0,0.9467933491686461,0.17038796516231194,0.2552,5,2030,0.15,0.25,30
40,20,true,52.0058435,0.11216055120364565,0.20038650036592282,0.11513063149373817,14,8,2.0,38.0,1.0,0.916,0.07466666666666667,0.236,5,2030,0.15,0.25,30
50,25,true,151.3114548,0.16071076617830007,0.5503223277123409,0.3833523469134865,42,43,14.0,49.0,1.0,0.9884470714669532,0.06730252552391187,0.2259,5,2030,0.15,0.25,30
60,30,true,239.0247447,0.14856485969396527,0.2772611739911152,0.14783688074264248,33,37,8.0,54.0,1.0,0.9655853314527504,0.11875881523272215,0.2254,5,2030,0.15,0.25,30
20,10,true,14.993756,0.1502394842426529,0.37856566390263247,0.24464462273738943,15,17,2.0,19.0,1.0,0.9591567852437418,0.0,0.2881,6,2031,0.15,0.25,30
30,15,true,32.3276621,0.1448694806194193,0.33275372255915364,0.2062319866609327,25,27,4.0,29.0,1.0,0.945019305019305,0.1837837837837838,0.2512,6,2031,0.15,0.25,30
40,20,true,83.5138417,0.15322124252078856,0.30818387397048974,0.17059757929513802,31,35,3.0,39.0,1.0,0.9353662095126933,0.19915377881529034,0.237,6,2031,0.15,0.25,30
50,25,true,227.9250927,0.16759546834295677,0.363035859578442,0.20074787610238173,36,40,12.0,48.0,1.0,0.9720105124835743,0.15295663600525625,0.2314,6,2031,0.15,0.25,30
60,30,true,309.2421259,0.16948851465438144,0.37235648899572343,0.20704396985570062,38,37,6.0,58.0,1.0,0.9785004031174416,0.11582907820478366,0.2226,6,2031,0.15,0.25,30
20,10,true,18.6033859,0.16545515963417776,0.3710238081294886,0.21429844855300878,15,16,2.0,19.0,1.0,0.9496900677526309,0.0,0.2957,7,2032,0.15,0.25,30
30,15,true,48.1609556,0.16655369495870467,0.3025216951506336,0.15353365504809985,23,26,1.0,29.0,1.0,0.9283047050037341,0.1460791635548917,0.2476,7,2032,0.15,0.25,30
40,20,true,110.9759985,0.16924731289812905,0.2624094383312519,0.11968575149002933,26,34,2.0,39.0,1.0,0.8943379402585823,0.13508693713776193,0.2175,7,2032,0.15,0.25,30
50,25,true,237.996331,0.1819773386908117,0.347943160099346,0.18142360486332668,35,36,6.0,49.0,1.0,0.9649354073292908,0.10980754020564197,0.2368,7,2032,0.15,0.25,30
60,30,false,88.5282149,,,,,,,,,,,0.0,7,2032,0.15,0.25,30
20,10,true,15.3621141,0.14879056433752952,0.4613092649851712,0.320210081383834,15,16,3.0,19.0,1.0,0.9533671036948749,0.0,0.2963,8,2033,0.15,0.25,30
30,15,true,33.6332713,0.14592135470520928,0.2892274646263198,0.16591552609704738,24,26,2.0,29.0,1.0,0.9190239353434877,0.1627292508548337,0.2406,8,2033,0.15,0.25,30
40,20,true,75.080951,0.15706469525145586,0.4722812273694185,0.31170254887938353,35,36,8.0,39.0,1.0,0.9595787076572729,0.14787930543694847,0.2169,8,2033,0.15,0.25,30
50,25,true,174.6388294,0.17199769275094118,0.5068924069763363,0.3413933207214599,43,43,20.0,49.0,1.0,0.9828867073494295,0.05837092066861237,0.22,8,2033,0.15,0.25,30
60,30,true,266.4951286,0.1594954622418129,0.2993231806259811,0.15834202851849744,35,39,5.0,57.0,1.0,0.9531028620005667,0.07155001416831963,0.2308,8,2033,0.15,0.25,30
20,10,true,12.9486124,0.1315764999760003,0.328093285786553,0.21048945649693812,14,17,2.0,19.0,1.0,0.9495711328009465,0.0,0.2952,9,2034,0.15,0.25,30
30,15,true,30.4764969,0.12984204059702265,0.26094852917773237,0.15178317459226293,20,26,2.0,29.0,1.0,0.9234661606578115,0.11827956989247312,0.2583,9,2034,0.15,0.25,30
40,20,true,69.1718606,0.15168727917102567,0.4927557487536807,0.35286920940350186,34,36,3.0,39.0,1.0,0.9618694362017804,0.13931750741839763,0.2258,9,2034,0.15,0.25,30
50,25,true,176.6251663,0.16131973085458823,0.3568651613844466,0.20933515815065804,36,39,10.0,47.0,1.0,0.9671139173901605,0.15627466456195738,0.2409,9,2034,0.15,0.25,30
60,30,true,312.4584147,0.16058978327007392,0.3829192768883709,0.23170062900059685,37,41,6.0,58.0,1.0,0.9814565976887933,0.11367911851652782,0.239,9,2034,0.15,0.25,30
20,10,true,11.0761733,0.12950504313259487,0.34195966410376005,0.21385196478352955,15,16,2.0,19.0,1.0,0.9395235186316433,0.0,0.2809,10,2035,0.15,0.25,30
30,15,true,26.2912188,0.1291320664374224,0.3317539526949206,0.21023395707493292,24,26,3.0,29.0,1.0,0.947271329746349,0.15618754803996926,0.2621,10,2035,0.15,0.25,30
40,20,true,64.8430831,0.13732598799303378,0.2621549822400615,0.14868034761916415,24,35,4.0,38.0,1.0,0.9411418481459682,0.15744555620953501,0.2606,10,2035,0.15,0.25,30
50,25,true,217.3298853,0.15891075762080487,0.3198047553310244,0.17566406630808074,33,34,5.0,47.0,1.0,0.9724894972218457,0.13538419840086732,0.2575,10,2035,0.15,0.25,30
60,30,true,279.0368976,0.1662773152957953,0.3714455207623119,0.22053068693369923,39,43,11.0,58.0,1.0,0.9797737857618097,0.09434464404524284,0.234,10,2035,0.15,0.25,30
20,10,true,20.5334133,0.1833409194775359,0.5300500527793728,0.3387871938118412,16,17,3.0,19.0,1.0,0.9722341491341062,0.0,0.2837,11,2036,0.15,0.25,30
30,15,true,48.2619845,0.16842132446634725,0.38718826980480686,0.22981739770463294,25,26,4.0,29.0,1.0,0.945597709377237,0.19040801717967074,0.2481,11,2036,0.15,0.25,30
40,20,true,112.9537485,0.1750970259107217,0.39198781977112257,0.22893205975553277,33,35,3.0,39.0,1.0,0.9320402298850575,0.14195402298850573,0.2273,11,2036,0.15,0.25,30
50,25,true,283.4671734,0.1844338507028009,0.43993625882316395,0.25643409188039457,38,45,3.0,49.0,1.0,0.9540992672473386,0.09525784598368589,0.2237,11,2036,0.15,0.25,30
60,30,true,375.8613011,0.18367788436814345,0.4277528767575871,0.23876801543084486,46,55,12.0,59.0,1.0,0.9655333022822543,0.07514361124049061,0.1796,11,2036,0.15,0.25,30
20,10,true,15.9727829,0.1175333828139094,0.3650629170362757,0.2514824059826308,14,16,3.0,19.0,1.0,0.9559464960744403,0.0,0.3022,12,2037,0.15,0.25,30
30,15,true,32.0397183,0.12584291558931995,0.2909123250789299,0.17699845890204882,23,26,3.0,29.0,1.0,0.925339728217426,0.1328537170263789,0.2597,12,2037,0.15,0.25,30
40,20,true,71.5748072,0.13894543600736095,0.438659191399272,0.30455307050304015,34,35,5.0,39.0,1.0,0.9617444529456771,0.16021423106350421,0.235,12,2037,0.15,0.25,30
50,25,true,184.562193,0.14754916942977767,0.3184939198136668,0.1796697491113447,34,35,4.0,48.0,1.0,0.9626897432259895,0.13576393814725493,0.2429,12,2037,0.15,0.25,30
60,30,true,349.0949774,0.16468296774579233,0.46594932551755763,0.30692677714414746,43,40,21.0,59.0,1.0,0.9945536663124336,0.06083953241232731,0.2183,12,2037,0.15,0.25,30
20,10,true,11.8447848,0.10608366938890751,0.5023649250648488,0.3787579209317056,16,16,5.0,19.0,1.0,0.9780083630168809,0.0,0.2962,13,2038,0.15,0.25,30
30,15,true,31.3728483,0.12116703488589292,0.5052454098672363,0.3847654133247646,24,26,5.0,29.0,1.0,0.9772798008092126,0.15717398070339247,0.274,13,2038,0.15,0.25,30
40,20,true,78.9984261,0.14236252426271104,0.3859072444855973,0.2514359866652739,33,35,10.75,39.0,1.0,0.9684877043145339,0.21572669709910175,0.2483,13,2038,0.15,0.25,30
50,25,true,192.6504824,0.14808637178904696,0.31656405921816877,0.18275693066928517,33,38,4.0,48.0,1.0,0.9679505201012089,0.15139162215350013,0.2463,13,2038,0.15,0.25,30
60,30,true,356.2351311,0.15838108584976796,0.39511527077162756,0.25037991367264706,38,39,12.0,56.0,1.0,0.9802072263549415,0.1065356004250797,0.2228,13,2038,0.15,0.25,30
20,10,true,16.6920006,0.12844285199105887,0.37800755079273984,0.2553589848588881,15,17,2.0,19.0,1.0,0.9510385756676558,0.0,0.2819,14,2039,0.15,0.25,30
30,15,true,40.1473357,0.13574709813128927,0.27431911185870017,0.15145793255924905,23,26,2.0,29.0,1.0,0.9242424242424242,0.11840049984379881,0.2598,14,2039,0.15,0.25,30
40,20,true,90.9778155,0.14924897502102139,0.3425527757645212,0.19837575868955906,31,35,3.0,39.0,1.0,0.9472589511216758,0.16015450898826325,0.2271,14,2039,0.15,0.25,30
50,25,true,232.6133969,0.15490693083035922,0.28785243593152754,0.14899509719872595,31,31,5.0,47.0,1.0,0.9598748639825898,0.1629488574537541,0.2559,14,2039,0.15,0.25,30
60,30,true,390.0254649,0.16760795094929046,0.36489320939797254,0.20892228621648573,40,42,3.0,58.0,1.0,0.9724156766352587,0.09941280895807729,0.2069,14,2039,0.15,0.25,30
20,10,true,16.2426706,0.13189982673103776,0.4694652415967998,0.34818462287885993,15,16,3.0,19.0,1.0,0.9634309499033744,0.0,0.2876,15,2040,0.15,0.25,30
30,15,true,39.0043045,0.13791941890901302,0.34169501410805314,0.20778081640854174,25,26,6.0,29.0,1.0,0.9388489208633094,0.17860494213324993,0.2501,15,2040,0.15,0.25,30
