analysis_day,n_observations,detected,elapsed_seconds,theta1_median,theta2_median,theta_diff_median,tau_median,tau_map,tau_q025,tau_q975,p_positive_effect,p_tau_near_truth,accepted_rate,rep,seed,true_theta1,true_theta2,true_t_star
50,25,true,,0.1649589770104624,0.3214515860466975,0.16991294789266095,34,46,2.0,48.0,0.8710407239819005,0.16176470588235295,0.266,10,2035,0.15,0.25,30
20,10,false,,0.2621686636020908,0.15120621335321574,-0.155569916549717,7,2,1.0,18.0,0.22961832061068702,0.0,0.2862,11,2036,0.15,0.25,30
30,15,false,,0.18151142934699682,0.2634083338459605,0.11602497252259733,23,26,2.0,29.0,0.6369168356997972,0.2129817444219067,0.2574,11,2036,0.15,0.25,30
40,20,true,,0.1820585337982041,0.4388718684182007,0.2556926368239618,34,35,8.0,39.0,0.8473861720067454,0.2863968521641372,0.2362,11,2036,0.15,0.25,30
20,10,true,,0.12932275347312736,0.3379469672373615,0.23182845962622645,14,16,1.7249999999999943,19.0,0.7907120743034056,0.0,0.307,12,2037,0.15,0.25,30
20,10,true,,0.11090214111451355,0.22936320715953526,0.12385573453261009,13,16,1.0499999999999972,19.0,0.7587733164717041,0.0,0.312,13,2038,0.15,0.25,30
20,10,false,,0.1391757921864589,0.15902093883485618,0.01784844888379014,11,15,2.0,19.0,0.5433612440191388,0.0,0.3164,14,2039,0.15,0.25,30
30,15,false,,0.14904397708414474,0.17294889463517285,0.03704397639775189,21,24,2.875,28.0,0.5986454652532391,0.13044758539458187,0.2806,14,2039,0.15,0.25,30
40,20,false,,0.150554288177571,0.1777763079875888,0.04644574609036259,13,4,2.0,36.0,0.6404330017554125,0.09215915740198946,0.281,14,2039,0.15,0.25,30
50,25,true,,0.16467842932077653,0.33873790464624337,0.19377586537502975,34,42,12.0,47.0,0.9451675436167266,0.18637496538355025,0.2432,14,2039,0.15,0.25,30
20,10,false,,0.15575582161506363,0.1587589817357007,0.009693552979463588,9,3,1.0,19.0,0.5210308056872038,0.0,0.3298,15,2040,0.15,0.25,30
